"time"	"volume"	"model.id"	"drug"	"batch"	"exp.type"
0	71.992674	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
7	89.685752	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
15	75.49530352	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
22	102.6504835	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
29	108.276948	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
33	118.355861	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
36	119.0280874	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
39	137.6753732	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
40	146.917719	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
43	147.5660867	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
47	153.192872	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
50	168.3543997	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
54	193.1697134	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
61	202.5681715	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
64	231.2214195	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
68	251.7678384	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
71	257.0057781	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
75	265.4120383	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
78	298.0092773	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
82	302.6602051	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
85	375.296233	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
89	360.526608	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
92	379.04503	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
96	416.7438725	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
99	448.5257754	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
103	478.8831965	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
106	552.0328382	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
110	584.245884	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
113	605.7719554	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
117	661.9901096	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
120	621.832185	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
124	643.8940149	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
127	743.6189197	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
131	767.0070694	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
134	788.2653033	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
138	872.540864	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
141	938.8027667	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
145	960.5223467	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
148	895.3348435	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
151	902.1430267	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
154	952.7194726	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
159	1131.624725	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
162	959.7943555	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
166	956.9705782	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
169	1081.219277	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
173	1069.471179	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
176	1031.726601	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
180	1123.115479	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
0	88.99672496	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
7	88.73555392	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
15	95.82861964	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
22	90.73782432	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
29	121.1818982	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
33	168.5099	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
36	187.0059693	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
39	182.774124	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
40	223.6835146	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
43	251.85888	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
47	260.449488	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
50	442.6507904	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
54	457.4802071	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
61	494.298143	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
64	519.9503421	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
68	524.4705372	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
71	662.9188254	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
75	657.333248	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
78	693.763785	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
82	789.0626016	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
85	842.3165696	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
89	843.0275506	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
92	1005.904224	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
96	1061.623851	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
99	951.3987226	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
103	1175.868616	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
0	63.69828192	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
7	61.38804672	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
15	69.27787776	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
22	120.1506088	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
29	138.1208192	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
33	176.64231	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
36	179.8749389	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
39	186.393193	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
40	207.8740976	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
43	323.102	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
47	446.4641168	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
50	750.1626974	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
54	723.0561416	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
61	814.395582	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
64	1102.474148	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
68	1137.157112	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
71	1264.011843	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
75	1457.703936	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
78	1505.513022	"PHLC1106_P5.506.B1"	"water"	"PHLC1106_P5"	"control"
0	51.63863796	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
7	61.2982656	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
15	85.3550698	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
22	111.1082918	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
29	118.4161867	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
33	177.8069472	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
36	189.7921724	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
39	233.4906662	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
40	240.5335332	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
43	246.6911117	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
47	282.1082441	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
50	426.8780214	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
54	457.7853852	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
61	508.2183475	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
64	642.5117046	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
68	762.84286	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
71	732.077749	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
75	809.834688	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
78	845.1585886	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
82	878.4718342	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
85	938.303145	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
89	1030.168854	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
92	1082.135517	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
96	1164.306069	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
99	1346.628192	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
103	1424.115262	"PHLC1106_P5.507.B2"	"water"	"PHLC1106_P5"	"control"
0	77.095603	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
7	62.16015572	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
15	59.51361104	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
22	62.9912244	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
29	84.762288	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
33	100.5845095	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
36	107.522663	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
39	102.5329401	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
40	110.6125197	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
43	141.278956	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
47	202.5246413	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
50	253.465667	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
54	339.8945878	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
61	380.5553679	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
64	394.3050426	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
68	403.9391491	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
71	447.1676352	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
75	521.9235882	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
78	584.56775	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
82	647.1387437	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
85	665.8082995	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
89	688.9862808	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
92	772.8023815	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
96	895.479624	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
99	978.5565504	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
103	1037.576996	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
106	1059.5	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
110	1187.610528	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
113	1392.97407	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
117	1544.989004	"PHLC1106_P5.508.B3"	"water"	"PHLC1106_P5"	"control"
0	73.441836	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
7	75.86149376	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
15	67.99	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
22	73.98413568	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
29	138.7711291	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
33	165.1016791	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
36	142.7937451	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
39	149.9132461	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
40	157.4660344	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
43	206.821186	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
47	256.3097534	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
50	372.9678826	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
54	401.3329216	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
61	454.6186445	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
64	545.5611907	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
68	608.9171275	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
71	787.1633734	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
75	924.4041394	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
78	1171.823328	"PHLC1106_P5.511.C1"	"water"	"PHLC1106_P5"	"control"
0	73.93396608	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
7	80.13643664	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
15	85.91915592	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
22	76.7324376	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
29	118.5586438	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
33	133.0198938	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
36	134.6307539	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
39	167.527335	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
40	172.7149133	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
43	164.4620578	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
47	187.4881133	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
50	264.0640704	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
54	174.6013838	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
61	175.7007845	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
64	163.6880045	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
68	162.8872128	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
71	173.46875	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
75	182.264263	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
78	178.051342	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
82	177.6771277	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
85	161.4293226	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
89	210.7983119	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
92	208.368759	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
96	213.4644746	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
99	255.8714595	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
103	271.0083631	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
106	233.5937926	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
110	243.8986368	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
113	329.317754	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
117	317.401735	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
120	303.4035347	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
124	322.8151384	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
127	398.3477971	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
131	406.0349665	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
134	426.2886113	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
138	381.1652915	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
141	367.1902208	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
145	353.7191694	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
148	405.29125	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
151	382.1017543	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
154	478.0003233	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
159	690.227266	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
162	639.429219	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
166	558.7090517	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
169	614.98099	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
173	671.1001898	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
176	955.3027536	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
180	739.6228195	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
183	1073.63244	"PHLC1106_P5.502.A2"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
0	66.56937664	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
7	77.66035368	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
15	85.9896778	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
22	86.20029184	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
29	117.8063827	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
33	130.221014	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
36	156.2224061	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
39	202.828289	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
40	192.3650726	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
43	226.3016662	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
47	212.8466735	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
50	215.923968	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
54	225.9205328	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
61	296.4058011	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
64	313.313183	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
68	360.7281101	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
71	389.1856732	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
75	394.040218	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
78	372.4016941	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
82	444.6737391	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
85	471.229097	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
89	444.52928	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
92	352.7273818	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
96	425.0350957	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
99	436.4900712	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
103	528.509124	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
106	521.8926336	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
110	529.74285	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
113	443.7251021	"PHLC1106_P5.503.A3"	"Vinorelbine+ Cisplatin"	"PHLC1106_P5"	"treatment"
