"","X-1004","X-1008","X-1286","X-1298","X-1349","X-1371","X-1383","X-1407","X-1468","X-1600","X-1631","X-1828","X-1832","X-1916","X-1921","X-2127","X-2195","X-2344","X-2353","X-2487","X-2524","X-2640","X-2780","X-3077","X-3078","X-3201","X-3298","X-3450","X-3453","X-3468","X-3697","X-3873","X-4347","X-4567","X-4824","X-4888","X-4949","X-5249","X-5355","X-5502","X-5541","X-5975","X-6047"
"BGJ398","X.1004.BG98","X.1008.BG98","X.1286.BG98","X.1298.BG98","","X.1371.BG98","X.1383.BG98","X.1407.BG98","X.1468.BG98","X.1600.BG98","X.1631.BG98","X.1828.BG98","X.1832.BG98","X.1916.BG98","X.1921.BG98","","X.2195.BG98","X.2344.BG98","X.2353.BG98","X.2487.BG98","X.2524.BG98","X.2640.BG98","X.2780.BG98","X.3077.BG98","X.3078.BG98","X.3201.BG98","X.3298.BG98","X.3450.BG98","","X.3468.BG98","X.3697.BG98","X.3873.BG98","X.4347.BG98","X.4567.BG98","X.4824.BG98","X.4888.BG98","X.4949.BG98","X.5249.BG98","X.5355.BG98","X.5502.BG98","","X.5975.BG98","X.6047.BG98"
"binimetinib","X.1004.biib","X.1008.biib","X.1286.biib","X.1298.biib","","X.1371.biib","X.1383.biib","X.1407.biib","X.1468.biib","X.1600.biib","X.1631.biib","X.1828.biib","X.1832.biib","X.1916.biib","X.1921.biib","","X.2195.biib","X.2344.biib","X.2353.biib","X.2487.biib","X.2524.biib","X.2640.biib","X.2780.biib","X.3077.biib","X.3078.biib","X.3201.biib","X.3298.biib","X.3450.biib","","X.3468.biib","X.3697.biib","X.3873.biib","X.4347.biib","X.4567.biib","X.4824.biib","X.4888.biib","X.4949.biib","X.5249.biib","X.5355.biib","X.5502.biib","","X.5975.biib","X.6047.biib"
"BKM120","X.1004.BK20","X.1008.BK20","X.1286.BK20","X.1298.BK20","","X.1371.BK20","X.1383.BK20","X.1407.BK20","X.1468.BK20","X.1600.BK20","X.1631.BK20","X.1828.BK20","X.1832.BK20","X.1916.BK20","X.1921.BK20","","X.2195.BK20","X.2344.BK20","X.2353.BK20","X.2487.BK20","X.2524.BK20","X.2640.BK20","X.2780.BK20","X.3077.BK20","X.3078.BK20","X.3201.BK20","X.3298.BK20","X.3450.BK20","","X.3468.BK20","X.3697.BK20","X.3873.BK20","X.4347.BK20","X.4567.BK20","X.4824.BK20","X.4888.BK20","X.4949.BK20","X.5249.BK20","X.5355.BK20","X.5502.BK20","","X.5975.BK20","X.6047.BK20"
"BYL719","X.1004.BY19","X.1008.BY19","X.1286.BY19","X.1298.BY19","","X.1371.BY19","X.1383.BY19","X.1407.BY19","X.1468.BY19","X.1600.BY19","X.1631.BY19","X.1828.BY19","X.1832.BY19","X.1916.BY19","X.1921.BY19","","X.2195.BY19","X.2344.BY19","X.2353.BY19","X.2487.BY19","X.2524.BY19","X.2640.BY19","X.2780.BY19","X.3077.BY19","X.3078.BY19","X.3201.BY19","X.3298.BY19","X.3450.BY19","","X.3468.BY19","X.3697.BY19","X.3873.BY19","X.4347.BY19","X.4567.BY19","X.4824.BY19","X.4888.BY19","X.4949.BY19","X.5249.BY19","X.5355.BY19","X.5502.BY19","","X.5975.BY19","X.6047.BY19"
"BYL719 + LEE011","X.1004.BY19.LE11","X.1008.BY19.LE11","X.1286.BY19.LE11","X.1298.BY19.LE11","","X.1371.BY19.LE11","X.1383.BY19.LE11","X.1407.BY19.LE11","X.1468.BY19.LE11","X.1600.BY19.LE11","X.1631.BY19.LE11","X.1828.BY19.LE11","X.1832.BY19.LE11","X.1916.BY19.LE11","X.1921.BY19.LE11","","X.2195.BY19.LE11","X.2344.BY19.LE11","X.2353.BY19.LE11","X.2487.BY19.LE11","X.2524.BY19.LE11","X.2640.BY19.LE11","X.2780.BY19.LE11","X.3077.BY19.LE11","X.3078.BY19.LE11","X.3201.BY19.LE11","X.3298.BY19.LE11","X.3450.BY19.LE11","","X.3468.BY19.LE11","X.3697.BY19.LE11","X.3873.BY19.LE11","X.4347.BY19.LE11","X.4567.BY19.LE11","X.4824.BY19.LE11","X.4888.BY19.LE11","X.4949.BY19.LE11","X.5249.BY19.LE11","X.5355.BY19.LE11","X.5502.BY19.LE11","","X.5975.BY19.LE11","X.6047.BY19.LE11"
"BYL719 + LJM716","X.1004.BY19.LJ16","X.1008.BY19.LJ16","X.1286.BY19.LJ16","X.1298.BY19.LJ16","","X.1371.BY19.LJ16","X.1383.BY19.LJ16","X.1407.BY19.LJ16","X.1468.BY19.LJ16","X.1600.BY19.LJ16","X.1631.BY19.LJ16","X.1828.BY19.LJ16","X.1832.BY19.LJ16","X.1916.BY19.LJ16","X.1921.BY19.LJ16","","X.2195.BY19.LJ16","X.2344.BY19.LJ16","X.2353.BY19.LJ16","X.2487.BY19.LJ16","X.2524.BY19.LJ16","X.2640.BY19.LJ16","X.2780.BY19.LJ16","X.3077.BY19.LJ16","X.3078.BY19.LJ16","X.3201.BY19.LJ16","X.3298.BY19.LJ16","X.3450.BY19.LJ16","","X.3468.BY19.LJ16","X.3697.BY19.LJ16","X.3873.BY19.LJ16","X.4347.BY19.LJ16","X.4567.BY19.LJ16","X.4824.BY19.LJ16","X.4888.BY19.LJ16","X.4949.BY19.LJ16","X.5249.BY19.LJ16","X.5355.BY19.LJ16","X.5502.BY19.LJ16","","X.5975.BY19.LJ16","X.6047.BY19.LJ16"
"CGM097","X.1004.CG97","X.1008.CG97","X.1286.CG97","X.1298.CG97","","X.1371.CG97","X.1383.CG97","X.1407.CG97","X.1468.CG97","X.1600.CG97","X.1631.CG97","X.1828.CG97","X.1832.CG97","X.1916.CG97","X.1921.CG97","","X.2195.CG97","X.2344.CG97","X.2353.CG97","X.2487.CG97","X.2524.CG97","X.2640.CG97","X.2780.CG97","X.3077.CG97","X.3078.CG97","X.3201.CG97","X.3298.CG97","X.3450.CG97","","X.3468.CG97","X.3697.CG97","X.3873.CG97","X.4347.CG97","X.4567.CG97","X.4824.CG97","X.4888.CG97","X.4949.CG97","X.5249.CG97","X.5355.CG97","X.5502.CG97","","X.5975.CG97","X.6047.CG97"
"CLR457","X.1004.CL57","X.1008.CL57","X.1286.CL57","X.1298.CL57","","X.1371.CL57","X.1383.CL57","X.1407.CL57","X.1468.CL57","X.1600.CL57","X.1631.CL57","X.1828.CL57","X.1832.CL57","X.1916.CL57","X.1921.CL57","","X.2195.CL57","X.2344.CL57","X.2353.CL57","X.2487.CL57","X.2524.CL57","X.2640.CL57","X.2780.CL57","X.3077.CL57","X.3078.CL57","X.3201.CL57","X.3298.CL57","X.3450.CL57","","X.3468.CL57","X.3697.CL57","X.3873.CL57","X.4347.CL57","X.4567.CL57","X.4824.CL57","X.4888.CL57","X.4949.CL57","X.5249.CL57","X.5355.CL57","X.5502.CL57","","X.5975.CL57","X.6047.CL57"
"HDM201","X.1004.HD01","X.1008.HD01","X.1286.HD01","X.1298.HD01","","X.1371.HD01","X.1383.HD01","X.1407.HD01","X.1468.HD01","X.1600.HD01","X.1631.HD01","X.1828.HD01","X.1832.HD01","X.1916.HD01","X.1921.HD01","","X.2195.HD01","X.2344.HD01","X.2353.HD01","X.2487.HD01","X.2524.HD01","X.2640.HD01","X.2780.HD01","X.3077.HD01","X.3078.HD01","X.3201.HD01","X.3298.HD01","X.3450.HD01","","X.3468.HD01","X.3697.HD01","X.3873.HD01","X.4347.HD01","X.4567.HD01","X.4824.HD01","X.4888.HD01","X.4949.HD01","X.5249.HD01","X.5355.HD01","X.5502.HD01","","X.5975.HD01","X.6047.HD01"
"INC424","X.1004.IN24","X.1008.IN24","X.1286.IN24","X.1298.IN24","","X.1371.IN24","X.1383.IN24","X.1407.IN24","X.1468.IN24","X.1600.IN24","","X.1828.IN24","X.1832.IN24","X.1916.IN24","X.1921.IN24","","X.2195.IN24","X.2344.IN24","X.2353.IN24","X.2487.IN24","X.2524.IN24","X.2640.IN24","X.2780.IN24","X.3077.IN24","X.3078.IN24","X.3201.IN24","X.3298.IN24","X.3450.IN24","","X.3468.IN24","X.3697.IN24","X.3873.IN24","X.4347.IN24","X.4567.IN24","X.4824.IN24","X.4888.IN24","X.4949.IN24","X.5249.IN24","X.5355.IN24","X.5502.IN24","","X.5975.IN24","X.6047.IN24"
"LEE011","X.1004.LE11","X.1008.LE11","X.1286.LE11","X.1298.LE11","","X.1371.LE11","X.1383.LE11","X.1407.LE11","X.1468.LE11","X.1600.LE11","X.1631.LE11","X.1828.LE11","X.1832.LE11","X.1916.LE11","X.1921.LE11","","X.2195.LE11","X.2344.LE11","X.2353.LE11","X.2487.LE11","X.2524.LE11","X.2640.LE11","X.2780.LE11","X.3077.LE11","X.3078.LE11","X.3201.LE11","X.3298.LE11","X.3450.LE11","","X.3468.LE11","X.3697.LE11","X.3873.LE11","X.4347.LE11","X.4567.LE11","X.4824.LE11","X.4888.LE11","X.4949.LE11","X.5249.LE11","X.5355.LE11","X.5502.LE11","","X.5975.LE11","X.6047.LE11"
"LEE011 + everolimus","X.1004.LE11.evus","X.1008.LE11.evus","X.1286.LE11.evus","X.1298.LE11.evus","","","X.1383.LE11.evus","X.1407.LE11.evus","X.1468.LE11.evus","X.1600.LE11.evus","X.1631.LE11.evus","X.1828.LE11.evus","X.1832.LE11.evus","X.1916.LE11.evus","X.1921.LE11.evus","","X.2195.LE11.evus","X.2344.LE11.evus","X.2353.LE11.evus","X.2487.LE11.evus","X.2524.LE11.evus","X.2640.LE11.evus","X.2780.LE11.evus","X.3077.LE11.evus","X.3078.LE11.evus","X.3201.LE11.evus","X.3298.LE11.evus","X.3450.LE11.evus","","X.3468.LE11.evus","X.3697.LE11.evus","X.3873.LE11.evus","X.4347.LE11.evus","X.4567.LE11.evus","X.4824.LE11.evus","X.4888.LE11.evus","X.4949.LE11.evus","X.5249.LE11.evus","X.5355.LE11.evus","X.5502.LE11.evus","","X.5975.LE11.evus","X.6047.LE11.evus"
"LFA102","X.1004.LF02","X.1008.LF02","X.1286.LF02","X.1298.LF02","","X.1371.LF02","X.1383.LF02","X.1407.LF02","X.1468.LF02","X.1600.LF02","X.1631.LF02","X.1828.LF02","X.1832.LF02","X.1916.LF02","X.1921.LF02","","X.2195.LF02","X.2344.LF02","X.2353.LF02","X.2487.LF02","X.2524.LF02","X.2640.LF02","X.2780.LF02","X.3077.LF02","X.3078.LF02","X.3201.LF02","X.3298.LF02","X.3450.LF02","","X.3468.LF02","X.3697.LF02","X.3873.LF02","X.4347.LF02","X.4567.LF02","X.4824.LF02","X.4888.LF02","X.4949.LF02","X.5249.LF02","X.5355.LF02","X.5502.LF02","","X.5975.LF02","X.6047.LF02"
"LFW527 + everolimus","X.1004.LF27.evus","X.1008.LF27.evus","X.1286.LF27.evus","X.1298.LF27.evus","X.1349.LF27.evus","X.1371.LF27.evus","X.1383.LF27.evus","X.1407.LF27.evus","X.1468.LF27.evus","X.1600.LF27.evus","","","X.1832.LF27.evus","X.1916.LF27.evus","X.1921.LF27.evus","X.2127.LF27.evus","","X.2344.LF27.evus","X.2353.LF27.evus","X.2487.LF27.evus","X.2524.LF27.evus","X.2640.LF27.evus","X.2780.LF27.evus","X.3077.LF27.evus","X.3078.LF27.evus","X.3201.LF27.evus","","X.3450.LF27.evus","X.3453.LF27.evus","X.3468.LF27.evus","","X.3873.LF27.evus","X.4347.LF27.evus","X.4567.LF27.evus","","X.4888.LF27.evus","","X.5249.LF27.evus","X.5355.LF27.evus","X.5502.LF27.evus","X.5541.LF27.evus","",""
"LJM716","X.1004.LJ16","X.1008.LJ16","X.1286.LJ16","X.1298.LJ16","","X.1371.LJ16","X.1383.LJ16","X.1407.LJ16","X.1468.LJ16","X.1600.LJ16","X.1631.LJ16","X.1828.LJ16","X.1832.LJ16","X.1916.LJ16","X.1921.LJ16","","X.2195.LJ16","X.2344.LJ16","X.2353.LJ16","X.2487.LJ16","X.2524.LJ16","X.2640.LJ16","X.2780.LJ16","X.3077.LJ16","X.3078.LJ16","X.3201.LJ16","X.3298.LJ16","X.3450.LJ16","","X.3468.LJ16","X.3697.LJ16","X.3873.LJ16","X.4347.LJ16","X.4567.LJ16","X.4824.LJ16","X.4888.LJ16","X.4949.LJ16","X.5249.LJ16","X.5355.LJ16","X.5502.LJ16","","X.5975.LJ16","X.6047.LJ16"
"LJM716 + trastuzumab","X.1004.LJ16.trab","X.1008.LJ16.trab","X.1286.LJ16.trab","X.1298.LJ16.trab","","X.1371.LJ16.trab","X.1383.LJ16.trab","X.1407.LJ16.trab","X.1468.LJ16.trab","X.1600.LJ16.trab","X.1631.LJ16.trab","X.1828.LJ16.trab","X.1832.LJ16.trab","X.1916.LJ16.trab","X.1921.LJ16.trab","","X.2195.LJ16.trab","X.2344.LJ16.trab","X.2353.LJ16.trab","X.2487.LJ16.trab","X.2524.LJ16.trab","X.2640.LJ16.trab","X.2780.LJ16.trab","X.3077.LJ16.trab","X.3078.LJ16.trab","X.3201.LJ16.trab","X.3298.LJ16.trab","X.3450.LJ16.trab","","X.3468.LJ16.trab","X.3697.LJ16.trab","X.3873.LJ16.trab","X.4347.LJ16.trab","X.4567.LJ16.trab","X.4824.LJ16.trab","X.4888.LJ16.trab","X.4949.LJ16.trab","X.5249.LJ16.trab","X.5355.LJ16.trab","X.5502.LJ16.trab","","","X.6047.LJ16.trab"
"LKA136","X.1004.LK36","X.1008.LK36","X.1286.LK36","X.1298.LK36","","X.1371.LK36","X.1383.LK36","X.1407.LK36","X.1468.LK36","X.1600.LK36","X.1631.LK36","X.1828.LK36","X.1832.LK36","X.1916.LK36","X.1921.LK36","","X.2195.LK36","X.2344.LK36","X.2353.LK36","X.2487.LK36","X.2524.LK36","X.2640.LK36","X.2780.LK36","X.3077.LK36","X.3078.LK36","X.3201.LK36","X.3298.LK36","X.3450.LK36","","X.3468.LK36","X.3697.LK36","X.3873.LK36","X.4347.LK36","X.4567.LK36","X.4824.LK36","X.4888.LK36","X.4949.LK36","X.5249.LK36","X.5355.LK36","X.5502.LK36","","X.5975.LK36","X.6047.LK36"
"LLM871","X.1004.LL71","X.1008.LL71","X.1286.LL71","X.1298.LL71","","X.1371.LL71","X.1383.LL71","X.1407.LL71","X.1468.LL71","X.1600.LL71","X.1631.LL71","X.1828.LL71","X.1832.LL71","X.1916.LL71","X.1921.LL71","","X.2195.LL71","X.2344.LL71","X.2353.LL71","X.2487.LL71","X.2524.LL71","X.2640.LL71","X.2780.LL71","X.3077.LL71","X.3078.LL71","X.3201.LL71","X.3298.LL71","X.3450.LL71","","X.3468.LL71","X.3697.LL71","X.3873.LL71","X.4347.LL71","X.4567.LL71","X.4824.LL71","X.4888.LL71","X.4949.LL71","X.5249.LL71","X.5355.LL71","X.5502.LL71","","X.5975.LL71","X.6047.LL71"
"paclitaxel","X.1004.pael","X.1008.pael","X.1286.pael","X.1298.pael","","X.1371.pael","X.1383.pael","X.1407.pael","X.1468.pael","X.1600.pael","X.1631.pael","X.1828.pael","X.1832.pael","X.1916.pael","X.1921.pael","","X.2195.pael","X.2344.pael","X.2353.pael","X.2487.pael","X.2524.pael","X.2640.pael","X.2780.pael","X.3077.pael","X.3078.pael","X.3201.pael","X.3298.pael","X.3450.pael","","X.3468.pael","X.3697.pael","X.3873.pael","X.4347.pael","X.4567.pael","X.4824.pael","X.4888.pael","X.4949.pael","X.5249.pael","X.5355.pael","X.5502.pael","","X.5975.pael","X.6047.pael"
"tamoxifen","X.1004.taen","X.1008.taen","X.1286.taen","X.1298.taen","","X.1371.taen","X.1383.taen","X.1407.taen","X.1468.taen","X.1600.taen","X.1631.taen","X.1828.taen","X.1832.taen","X.1916.taen","X.1921.taen","","X.2195.taen","X.2344.taen","X.2353.taen","X.2487.taen","X.2524.taen","X.2640.taen","X.2780.taen","X.3077.taen","X.3078.taen","X.3201.taen","X.3298.taen","X.3450.taen","","X.3468.taen","X.3697.taen","X.3873.taen","X.4347.taen","X.4567.taen","X.4824.taen","X.4888.taen","X.4949.taen","X.5249.taen","X.5355.taen","X.5502.taen","","X.5975.taen","X.6047.taen"
"trastuzumab","X.1004.trab","X.1008.trab","X.1286.trab","X.1298.trab","","X.1371.trab","X.1383.trab","X.1407.trab","X.1468.trab","X.1600.trab","X.1631.trab","X.1828.trab","X.1832.trab","X.1916.trab","X.1921.trab","","X.2195.trab","X.2344.trab","X.2353.trab","X.2487.trab","X.2524.trab","X.2640.trab","X.2780.trab","X.3077.trab","X.3078.trab","X.3201.trab","X.3298.trab","X.3450.trab","","X.3468.trab","X.3697.trab","X.3873.trab","X.4347.trab","X.4567.trab","X.4824.trab","X.4888.trab","X.4949.trab","X.5249.trab","X.5355.trab","X.5502.trab","","","X.6047.trab"
"untreated","X.1004.uned","X.1008.uned","X.1286.uned","X.1298.uned","","X.1371.uned","X.1383.uned","X.1407.uned","X.1468.uned","X.1600.uned","X.1631.uned","X.1828.uned","X.1832.uned","X.1916.uned","X.1921.uned","","X.2195.uned","X.2344.uned","X.2353.uned","X.2487.uned","X.2524.uned","X.2640.uned","X.2780.uned","X.3077.uned","X.3078.uned","X.3201.uned","X.3298.uned","X.3450.uned","","X.3468.uned","X.3697.uned","X.3873.uned","X.4347.uned","X.4567.uned","X.4824.uned","X.4888.uned","X.4949.uned","X.5249.uned","X.5355.uned","X.5502.uned","","X.5975.uned","X.6047.uned"
