"","X-1655","X-1906","X-2163","X-2306","X-2602","X-2613","X-2700","X-2723","X-2753","X-2838","X-2921","X-2992","X-3127","X-3211","X-3483","X-3486","X-3503","X-3676","X-3746","X-3773","X-3851","X-3880","X-4157","X-4339","X-4426","X-4455","X-4530","X-4538","X-4644","X-4668","X-4832","X-4849","X-5189"
"binimetinib","X.1655.biib","X.1906.biib","X.2163.biib","X.2306.biib","X.2602.biib","X.2613.biib","X.2700.biib","X.2723.biib","X.2753.biib","X.2838.biib","X.2921.biib","X.2992.biib","X.3127.biib","X.3211.biib","X.3483.biib","X.3486.biib","X.3503.biib","X.3676.biib","X.3746.biib","X.3773.biib","X.3851.biib","X.3880.biib","X.4157.biib","X.4339.biib","X.4426.biib","X.4455.biib","X.4530.biib","X.4538.biib","X.4644.biib","X.4668.biib","X.4832.biib","X.4849.biib","X.5189.biib"
"BKM120","X.1655.BK20","X.1906.BK20","X.2163.BK20","X.2306.BK20","X.2602.BK20","X.2613.BK20","X.2700.BK20","X.2723.BK20","X.2753.BK20","X.2838.BK20","X.2921.BK20","X.2992.BK20","X.3127.BK20","X.3211.BK20","X.3483.BK20","X.3486.BK20","X.3503.BK20","X.3676.BK20","X.3746.BK20","X.3773.BK20","X.3851.BK20","X.3880.BK20","X.4157.BK20","X.4339.BK20","X.4426.BK20","X.4455.BK20","X.4530.BK20","X.4538.BK20","X.4644.BK20","X.4668.BK20","X.4832.BK20","X.4849.BK20","X.5189.BK20"
"BKM120 + encorafenib","X.1655.BK20.enib","X.1906.BK20.enib","X.2163.BK20.enib","X.2306.BK20.enib","X.2602.BK20.enib","X.2613.BK20.enib","X.2700.BK20.enib","X.2723.BK20.enib","X.2753.BK20.enib","X.2838.BK20.enib","X.2921.BK20.enib","X.2992.BK20.enib","X.3127.BK20.enib","X.3211.BK20.enib","X.3483.BK20.enib","X.3486.BK20.enib","X.3503.BK20.enib","X.3676.BK20.enib","X.3746.BK20.enib","X.3773.BK20.enib","X.3851.BK20.enib","X.3880.BK20.enib","X.4157.BK20.enib","X.4339.BK20.enib","X.4426.BK20.enib","X.4455.BK20.enib","X.4530.BK20.enib","X.4538.BK20.enib","X.4644.BK20.enib","X.4668.BK20.enib","X.4832.BK20.enib","X.4849.BK20.enib","X.5189.BK20.enib"
"CGM097","X.1655.CG97","X.1906.CG97","X.2163.CG97","X.2306.CG97","X.2602.CG97","X.2613.CG97","X.2700.CG97","X.2723.CG97","X.2753.CG97","X.2838.CG97","X.2921.CG97","X.2992.CG97","X.3127.CG97","X.3211.CG97","X.3483.CG97","X.3486.CG97","X.3503.CG97","X.3676.CG97","X.3746.CG97","X.3773.CG97","X.3851.CG97","X.3880.CG97","X.4157.CG97","X.4339.CG97","X.4426.CG97","X.4455.CG97","X.4530.CG97","X.4538.CG97","X.4644.CG97","X.4668.CG97","X.4832.CG97","X.4849.CG97","X.5189.CG97"
"CLR457","X.1655.CL57","X.1906.CL57","X.2163.CL57","X.2306.CL57","","X.2613.CL57","X.2700.CL57","X.2723.CL57","X.2753.CL57","X.2838.CL57","X.2921.CL57","X.2992.CL57","X.3127.CL57","X.3211.CL57","","","","","","X.3773.CL57","X.3851.CL57","","X.4157.CL57","X.4339.CL57","","X.4455.CL57","","","X.4644.CL57","","","X.4849.CL57","X.5189.CL57"
"dacarbazine","X.1655.dane","X.1906.dane","X.2163.dane","X.2306.dane","X.2602.dane","X.2613.dane","X.2700.dane","X.2723.dane","X.2753.dane","X.2838.dane","X.2921.dane","X.2992.dane","X.3127.dane","X.3211.dane","X.3483.dane","X.3486.dane","X.3503.dane","X.3676.dane","X.3746.dane","X.3773.dane","X.3851.dane","X.3880.dane","X.4157.dane","X.4339.dane","X.4426.dane","X.4455.dane","","X.4538.dane","X.4644.dane","X.4668.dane","X.4832.dane","X.4849.dane","X.5189.dane"
"encorafenib","X.1655.enib","X.1906.enib","X.2163.enib","X.2306.enib","X.2602.enib","X.2613.enib","X.2700.enib","X.2723.enib","X.2753.enib","X.2838.enib","X.2921.enib","X.2992.enib","X.3127.enib","X.3211.enib","X.3483.enib","X.3486.enib","X.3503.enib","X.3676.enib","X.3746.enib","X.3773.enib","X.3851.enib","X.3880.enib","X.4157.enib","X.4339.enib","X.4426.enib","X.4455.enib","X.4530.enib","X.4538.enib","X.4644.enib","X.4668.enib","X.4832.enib","X.4849.enib","X.5189.enib"
"encorafenib + binimetinib","X.1655.enib.biib","X.1906.enib.biib","X.2163.enib.biib","X.2306.enib.biib","X.2602.enib.biib","X.2613.enib.biib","X.2700.enib.biib","X.2723.enib.biib","X.2753.enib.biib","X.2838.enib.biib","X.2921.enib.biib","X.2992.enib.biib","X.3127.enib.biib","X.3211.enib.biib","X.3483.enib.biib","X.3486.enib.biib","X.3503.enib.biib","X.3676.enib.biib","X.3746.enib.biib","X.3773.enib.biib","X.3851.enib.biib","X.3880.enib.biib","X.4157.enib.biib","X.4339.enib.biib","X.4426.enib.biib","X.4455.enib.biib","X.4530.enib.biib","X.4538.enib.biib","X.4644.enib.biib","X.4668.enib.biib","X.4832.enib.biib","X.4849.enib.biib","X.5189.enib.biib"
"LDE225","X.1655.LD25","X.1906.LD25","X.2163.LD25","X.2306.LD25","X.2602.LD25","X.2613.LD25","X.2700.LD25","X.2723.LD25","X.2753.LD25","X.2838.LD25","X.2921.LD25","X.2992.LD25","X.3127.LD25","X.3211.LD25","X.3483.LD25","X.3486.LD25","X.3503.LD25","X.3676.LD25","X.3746.LD25","X.3773.LD25","X.3851.LD25","X.3880.LD25","X.4157.LD25","X.4339.LD25","X.4426.LD25","X.4455.LD25","X.4530.LD25","X.4538.LD25","X.4644.LD25","X.4668.LD25","X.4832.LD25","X.4849.LD25","X.5189.LD25"
"LDK378","X.1655.LD78","X.1906.LD78","X.2163.LD78","X.2306.LD78","X.2602.LD78","X.2613.LD78","X.2700.LD78","X.2723.LD78","X.2753.LD78","X.2838.LD78","X.2921.LD78","X.2992.LD78","X.3127.LD78","X.3211.LD78","X.3483.LD78","X.3486.LD78","X.3503.LD78","X.3676.LD78","X.3746.LD78","X.3773.LD78","X.3851.LD78","X.3880.LD78","X.4157.LD78","X.4339.LD78","X.4426.LD78","X.4455.LD78","X.4530.LD78","X.4538.LD78","X.4644.LD78","X.4668.LD78","X.4832.LD78","X.4849.LD78","X.5189.LD78"
"LEE011","X.1655.LE11","X.1906.LE11","X.2163.LE11","X.2306.LE11","X.2602.LE11","X.2613.LE11","X.2700.LE11","X.2723.LE11","X.2753.LE11","X.2838.LE11","X.2921.LE11","X.2992.LE11","X.3127.LE11","X.3211.LE11","X.3483.LE11","X.3486.LE11","X.3503.LE11","X.3676.LE11","X.3746.LE11","X.3773.LE11","X.3851.LE11","X.3880.LE11","X.4157.LE11","X.4339.LE11","X.4426.LE11","X.4455.LE11","X.4530.LE11","X.4538.LE11","X.4644.LE11","X.4668.LE11","X.4832.LE11","X.4849.LE11","X.5189.LE11"
"LEE011 + binimetinib","X.1655.LE11.biib","X.1906.LE11.biib","X.2163.LE11.biib","X.2306.LE11.biib","","X.2613.LE11.biib","X.2700.LE11.biib","X.2723.LE11.biib","X.2753.LE11.biib","X.2838.LE11.biib","X.2921.LE11.biib","X.2992.LE11.biib","X.3127.LE11.biib","X.3211.LE11.biib","","","","","","X.3773.LE11.biib","X.3851.LE11.biib","","","X.4339.LE11.biib","","","","","","","","X.4849.LE11.biib","X.5189.LE11.biib"
"LEE011 + encorafenib","X.1655.LE11.enib","X.1906.LE11.enib","X.2163.LE11.enib","X.2306.LE11.enib","X.2602.LE11.enib","X.2613.LE11.enib","X.2700.LE11.enib","X.2723.LE11.enib","X.2753.LE11.enib","X.2838.LE11.enib","X.2921.LE11.enib","X.2992.LE11.enib","X.3127.LE11.enib","X.3211.LE11.enib","X.3483.LE11.enib","X.3486.LE11.enib","X.3503.LE11.enib","X.3676.LE11.enib","X.3746.LE11.enib","X.3773.LE11.enib","X.3851.LE11.enib","X.3880.LE11.enib","X.4157.LE11.enib","X.4339.LE11.enib","X.4426.LE11.enib","X.4455.LE11.enib","X.4530.LE11.enib","X.4538.LE11.enib","X.4644.LE11.enib","X.4668.LE11.enib","X.4832.LE11.enib","X.4849.LE11.enib","X.5189.LE11.enib"
"LGW813","X.1655.LG13","X.1906.LG13","X.2163.LG13","X.2306.LG13","X.2602.LG13","X.2613.LG13","X.2700.LG13","X.2723.LG13","X.2753.LG13","X.2838.LG13","X.2921.LG13","X.2992.LG13","X.3127.LG13","X.3211.LG13","X.3483.LG13","X.3486.LG13","X.3503.LG13","X.3676.LG13","X.3746.LG13","X.3773.LG13","X.3851.LG13","X.3880.LG13","X.4157.LG13","X.4339.LG13","X.4426.LG13","X.4455.LG13","X.4530.LG13","X.4538.LG13","X.4644.LG13","X.4668.LG13","X.4832.LG13","X.4849.LG13","X.5189.LG13"
"TAS266","X.1655.TA66","X.1906.TA66","X.2163.TA66","X.2306.TA66","X.2602.TA66","X.2613.TA66","X.2700.TA66","X.2723.TA66","X.2753.TA66","X.2838.TA66","X.2921.TA66","X.2992.TA66","X.3127.TA66","X.3211.TA66","X.3483.TA66","X.3486.TA66","X.3503.TA66","X.3676.TA66","X.3746.TA66","X.3773.TA66","X.3851.TA66","X.3880.TA66","X.4157.TA66","X.4339.TA66","X.4426.TA66","X.4455.TA66","X.4530.TA66","X.4538.TA66","X.4644.TA66","X.4668.TA66","X.4832.TA66","X.4849.TA66","X.5189.TA66"
"untreated","X.1655.uned","X.1906.uned","X.2163.uned","X.2306.uned","X.2602.uned","X.2613.uned","X.2700.uned","X.2723.uned","X.2753.uned","X.2838.uned","X.2921.uned","X.2992.uned","X.3127.uned","X.3211.uned","X.3483.uned","X.3486.uned","X.3503.uned","X.3676.uned","X.3746.uned","X.3773.uned","X.3851.uned","X.3880.uned","X.4157.uned","X.4339.uned","X.4426.uned","X.4455.uned","X.4530.uned","X.4538.uned","X.4644.uned","X.4668.uned","X.4832.uned","X.4849.uned","X.5189.uned"
"WNT974","X.1655.WN74","X.1906.WN74","X.2163.WN74","X.2306.WN74","X.2602.WN74","X.2613.WN74","X.2700.WN74","X.2723.WN74","X.2753.WN74","X.2838.WN74","X.2921.WN74","X.2992.WN74","X.3127.WN74","X.3211.WN74","X.3483.WN74","X.3486.WN74","X.3503.WN74","X.3676.WN74","X.3746.WN74","X.3773.WN74","X.3851.WN74","X.3880.WN74","X.4157.WN74","X.4339.WN74","X.4426.WN74","X.4455.WN74","X.4530.WN74","X.4538.WN74","X.4644.WN74","X.4668.WN74","X.4832.WN74","X.4849.WN74","X.5189.WN74"
